,lang,morpho,ttr_spm,ppl_spm,ttr,ppl,ttr_diff,ppl_diff
0,ar,introflexive,0.02658234581501577,1195.418593570907,0.14556450154107212,2997.7924037203566,-0.119,-1802.37
1,bg,fusional,0.02988430715175226,547.3347154455785,0.1255160616215803,933.9676043225335,-0.096,-386.63
2,ca,fusional,0.022399637524595048,253.76363876233657,0.07784454459466979,482.2140456170279,-0.055,-228.45
3,cs,fusional,0.030552027516884617,1148.0711759701398,0.18307288342034167,3208.9651035453558,-0.153,-2060.89
4,da,fusional,0.029203659136003125,713.4245497347645,0.12469965883390194,1193.9205242215057,-0.095,-480.50
5,de,fusional,0.030727073080929142,992.897442142127,0.1627091855859306,1824.3050167416363,-0.132,-831.41
6,el,fusional,0.02478402012212157,497.73662561964346,0.11362711899537015,1037.9151897698052,-0.089,-540.18
7,en,fusional,0.02525277047314593,719.7589664626076,0.08387067601175673,1025.9478482889567,-0.059,-306.19
8,es,fusional,0.02232380606919976,453.7165269293464,0.08490067755931749,634.8666049287568,-0.063,-181.15
9,et,agglutinative,0.034618319900228955,1172.17338133614,0.229329345599948,3661.4197859241,-0.195,-2489.25
10,fa,fusional,0.030890118295391365,568.1185106640227,0.0794602367537643,922.6993531958733,-0.049,-354.58
11,fi,agglutinative,0.03633112751336218,1499.6128425518682,0.2710606961533184,5559.075687103952,-0.235,-4059.46
12,fr,fusional,0.024141541422487454,387.16295711727133,0.0875172666700253,826.9828261139072,-0.063,-439.82
13,he,introflexive,0.03370417119839089,1534.1690823020328,0.16592215341721178,4068.1481611674476,-0.132,-2533.98
14,hi,fusional,0.03158335120096642,737.3011765482443,0.09095603413433158,889.626151006264,-0.059,-152.32
15,hr,fusional,0.030097129243340556,958.746781842782,0.16504097601016787,2222.8668614272588,-0.135,-1264.12
16,hu,agglutinative,0.028803923371399764,832.3066165856243,0.20247131955324202,2132.7328300731906,-0.174,-1300.43
17,id,isolating,0.02942673218728667,880.5389107862712,0.08852425263054381,1251.588080716824,-0.059,-371.05
18,it,fusional,0.022526490997368375,561.2049375065304,0.09038002855187763,1135.1641031778527,-0.068,-573.96
19,ja,agglutinative,0.024309488542301996,329.99723402284957,0.05329828395469363,376.8183999555932,-0.029,-46.82
20,ko,agglutinative,0.03221777124043377,1443.982903318278,0.31787238931307454,9156.690665549004,-0.286,-7712.71
21,lt,fusional,0.03540365695625457,1014.2430439898864,0.21173273165478693,2297.6571203173476,-0.176,-1283.41
22,lv,fusional,0.03260622121564118,975.9599097559445,0.17373683660776176,2198.258772561931,-0.141,-1222.30
23,ms,isolating,0.030894228483083486,637.9477574560898,0.07763916469156364,828.448309006866,-0.047,-190.50
24,nl,fusional,0.031888846518722445,773.5968124561224,0.11745923718599037,1164.744533682126,-0.086,-391.15
25,no,fusional,0.03167998395315415,801.8978407885517,0.13378498574925177,1295.4270096773955,-0.102,-493.53
26,pl,fusional,0.03080286930837393,1028.3912506207841,0.18599887883631191,2764.5404703593163,-0.155,-1736.15
27,pt,fusional,0.023745877575073397,566.8589294472214,0.08502261564902239,834.810368473411,-0.061,-267.95
28,ro,fusional,0.024461324832787613,446.92568182290194,0.10104807110318244,716.7658319503976,-0.077,-269.84
29,ru,fusional,0.029017889171998025,965.4114392975343,0.1942282309177237,2564.1611178693142,-0.165,-1598.75
30,sk,fusional,0.03226829443314051,894.5353340963226,0.18136069225622892,2420.7496163534174,-0.149,-1526.21
31,sl,fusional,0.029167623338235627,942.4970533163148,0.16492000317528013,2111.7407070192553,-0.136,-1169.24
32,sr,fusional,0.03020463145572487,845.463017555877,0.18129308267661476,2151.288731946522,-0.151,-1305.83
33,sv,fusional,0.03190001778022495,881.1577412185143,0.15268687109664555,1678.6586998195592,-0.121,-797.50
34,th,isolating,0.010855747555638577,229.75399761076122,0.023682383589066117,238.79169535384372,-0.013,-9.04
35,tl,isolating,0.027635566353829678,376.39331877841283,0.09185741118472393,507.85403923239664,-0.064,-131.46
36,tr,agglutinative,0.03306272096372921,1049.0721068738137,0.1736080690581804,3843.956042694305,-0.141,-2794.88
37,uk,fusional,0.030219552051255778,929.0844557546327,0.1901414425656925,2474.171387548954,-0.160,-1545.09
38,vi,isolating,0.01979676780290444,245.32163944638225,0.03271781184288164,233.79611636898449,-0.013,+11.53
39,zh-cn,isolating,0.02593137911836369,853.2283030612458,0.04622623775172122,999.2800458940203,-0.020,-146.05
40,zh-tw,isolating,0.02663855149055447,1028.204573323436,0.0556644401431931,1371.662722167169,-0.029,-343.46
